Candidatura;Provincia;Candidatos;Nombre y Apellidos;twitter;web;facebook
;;;Alfonso Rodríguez Gómez de Celis;@gomezdcelis;https://rodriguezgomezdecelis.wordpress.com/;
;;;Beatriz Micaela Carrillo de los Reyes;@BeaMCarrillo;http://www.fakali.org/;
;;;Francisco José Salazar Rodríguez;@SalazarRoPaco;;
;;;Eva Patricia Bueno Campanario;@evapatriciab;;
;Soria;1;Javier Antón Cacho;@javieranton;;
;Tarragona;1;Joan Ruiz i Carbonell;@jruizcarbonell;http://blocs.tinet.cat/lt/blog/el-bloc-del-joan-ruiz;
;Teruel;1;Herminio Sancho Íñiguez;@sancho_herminio;;
;Toledo;2;Sergio Gutiérrez Prieto;@Sergio_GP;;
;;;Esther Padilla Ruiz;@EstherPadillaR;;
;Valencia / València;4;Jose Luís Ábalos Meco;@abalosmeco;;
;;;Ana María Botella Gómez;;;
;;;Vicent Sarrià i Morell;;;
;;;Josefa Andrés Barea;@Josefaandresba2;;
;Valladolid;2;José Javier Izquierdo Roncero;;;
;;;Helena Caballero Gutiérrez;@javizqui;;
;Zamora;1;María del Mar Rominguera Salazar;@rominguera;;
;Zaragoza;3;Susana Sumelzo Jordán;@SSumelzo;;
;;;Pau Mari Klose;@pmklose;;
;;;Noemí Villagrasa Quero;@nvillagrasa;;
PP - PARTIDO POPULAR;;;;@populares;;
;A Coruña;3;Marta González Vázquez;@MartaGlezVzqz;;
;;;Tristana María Moraleja Gómez;@TristanaMg;;
;;;María Valentina Martínez Ferro;;;
;Albacete;1;María Carmen Navarro Lacoba;@CnLacoba;;
;Alicante / Alacant;3;César Sánchez Pérez;@sanchezcesar;;
;;;Macarena Montesinos de Miguel;;;
;;;Agustín Almodóbar Barceló;@aalmodobar;;
;Almería;2;Javier Aureliano García Molina;;;
;;;Juan José Matarí Sáez;;;
;Asturias;1;Paloma Gázquez Collado;@PalomaGazquez;;
;Ávila;1;Alicia García Rodríguez;@AliciaGarcia_Av;;
;Badajoz;1;Víctor Valentín Píriz Maya;@vicpiriz1975;;
;Barcelona;1;Cayetana Ávarez de Toledo Peralta-Ramos;@cayetanaAT;http://www.cayetanaalvarezdetoledo.com/;
;Burgos;1;María Sandra Moneo Díez;;;
;Cáceres;1;Alberto Casero Ávila;@AlbertoCasero;;
;Cádiz;1;María José García-Pelayo Jurado;;;
;Cantabria;1;Diego Movellán Lombilla;@DiegoMovellan;;
;Castellón / Castelló;1;Óscar Clavell López;@OscarClavell;;
;Ciudad Real;1;Rosa María Romero Sánchez;;;
;Córdoba;1;Andrés Lorite Lorite;@AndresLorite;;
;Cuenca;1;Rafael Catalá Polo;;;
;Granada;1;Carlos Rojas García;@CarlosRojas_PPA;;
;Guadalajara;1;Silvia Valmaña Ochaita;@svalmana;;
;Huelva;1;Juan José Cortés Fernández;@JuanJose_CORTES;;
;Huesca;1;Mario Garcés Sanagustín;@MarioGarcesSan;;
;Illes Balears;1;Margarita Prohens Rigo;@MargaProhens;;
;Jaén;1;María Luisa del Moral Leal;@mlmoral;;
;La Rioja;1;María Concepción Gamarra Ruiz-Clavijo;@cucagamarra;;
;Las Palmas;2;Guillermo Carlos Mariscal Anaya;@gmariscalanaya;;
;;;María del Carmen Hernández Bento;@HernandezBento;;
;León;1;María del Carmen González Guinda;@CarmenGGuinda;;
;Lugo;2;Jaime Eduardo de Olano Vela;@jaimedeolano;;
;;;Joaquín María García Díez;@Quin1954;http://www.joaquingarciadiez.com/;
;Madrid;7;Pablo Casado Blanco;@pablocasado_;http://www.pp.es/;
;;;Adolfo Suárez Illana;;;
;;;Edurne Uriarte Bengoechea;;;
;;;Daniel Lacalle Fernández;;;
;;;Ana María Beltrán Villalba;;;
;;;Andrea Levy Soler;;;
;;;Antonio Pablo González Terol;;;
;Málaga;2;Pablo Montesinos Aguayo;;;
;;;Carolina España Reina;;;
;Melilla;1;Fernando Adolfo Gutiérrez Díaz de Otazu;;;
;Murcia;2;Teodoro García Egea;;;
;;;Isabel María Borrego Cortés;;;
;Ourense;2;Ana Belén Vázquez Blanco;;;
;;;Celso Luis Delgado Arce;;;
;Palencia;1;Milagros Marcos Ortega;;;
;Pontevedra;2;Ana María Pastor Julián;;;
;;;Diego José Gago Bugarín;;;
;Salamanca;2;José Antonio Bermúdez de Castro Fernández;;;
;;;María Jesús Moro Almaraz;;;
